input: ../data/euclid/euclid20_9.phylip, k: 1, totaltime [s]: 0.000155, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.008600, ave size neighbor: 36.000000, init. obj: 872.620401, obj: 824.738526, impr. rate [%]: 5.487137
input: ../data/euclid/euclid20_10.phylip, k: 1, totaltime [s]: 0.000101, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.008750, ave size neighbor: 36.000000, init. obj: 1007.626526, obj: 966.516918, impr. rate [%]: 4.079846
input: ../data/euclid/euclid20_11.phylip, k: 1, totaltime [s]: 0.000100, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.008750, ave size neighbor: 36.000000, init. obj: 623.032286, obj: 619.980870, impr. rate [%]: 0.489769
input: ../data/euclid/euclid20_12.phylip, k: 1, totaltime [s]: 0.000131, #improving moves: 6, #neighborhood scans: 7, time/iter [ms]: 0.009571, ave size neighbor: 36.000000, init. obj: 747.218913, obj: 667.318351, impr. rate [%]: 10.693059
input: ../data/euclid/euclid20_13.phylip, k: 1, totaltime [s]: 0.000113, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.009400, ave size neighbor: 36.000000, init. obj: 868.595425, obj: 839.163344, impr. rate [%]: 3.388468
input: ../data/euclid/euclid20_14.phylip, k: 1, totaltime [s]: 0.000069, #improving moves: 0, #neighborhood scans: 1, time/iter [ms]: 0.005000, ave size neighbor: 36.000000, init. obj: 667.444809, obj: 667.444809, impr. rate [%]: 0.000000
input: ../data/euclid/euclid20_15.phylip, k: 1, totaltime [s]: 0.000103, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.008000, ave size neighbor: 36.000000, init. obj: 812.571245, obj: 797.663449, impr. rate [%]: 1.834645
input: ../data/euclid/euclid20_1.phylip, k: 2, totaltime [s]: 0.000390, #improving moves: 18, #neighborhood scans: 19, time/iter [ms]: 0.016579, ave size neighbor: 92.631579, init. obj: 1014.064476, obj: 694.713873, impr. rate [%]: 31.492140
input: ../data/euclid/euclid20_2.phylip, k: 2, totaltime [s]: 0.000239, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.018778, ave size neighbor: 92.888889, init. obj: 660.711846, obj: 588.987888, impr. rate [%]: 10.855558
input: ../data/euclid/euclid20_3.phylip, k: 2, totaltime [s]: 0.000277, #improving moves: 11, #neighborhood scans: 12, time/iter [ms]: 0.017083, ave size neighbor: 91.166667, init. obj: 842.342586, obj: 549.486917, impr. rate [%]: 34.766813
input: ../data/euclid/euclid20_4.phylip, k: 2, totaltime [s]: 0.000267, #improving moves: 6, #neighborhood scans: 7, time/iter [ms]: 0.017000, ave size neighbor: 89.714286, init. obj: 606.958801, obj: 544.778777, impr. rate [%]: 10.244521
input: ../data/euclid/euclid20_5.phylip, k: 2, totaltime [s]: 0.000232, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.017778, ave size neighbor: 88.444444, init. obj: 861.846021, obj: 698.202520, impr. rate [%]: 18.987557
input: ../data/euclid/euclid20_6.phylip, k: 2, totaltime [s]: 0.000189, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.014750, ave size neighbor: 87.000000, init. obj: 652.730796, obj: 611.766870, impr. rate [%]: 6.275777
