input: ../data/euclid/euclid100_17.phylip, k: 5, totaltime [s]: 0.019576, #improving moves: 44, #neighborhood scans: 45, time/iter [ms]: 0.415556, ave size neighbor: 2435.600000, init. obj: 159291.187488, obj: 126068.536769, impr. rate [%]: 20.856553
input: ../data/euclid/euclid100_18.phylip, k: 5, totaltime [s]: 0.023266, #improving moves: 54, #neighborhood scans: 55, time/iter [ms]: 0.407218, ave size neighbor: 2428.618182, init. obj: 157979.666993, obj: 132128.791283, impr. rate [%]: 16.363420
input: ../data/euclid/euclid100_19.phylip, k: 5, totaltime [s]: 0.018863, #improving moves: 43, #neighborhood scans: 44, time/iter [ms]: 0.408091, ave size neighbor: 2498.272727, init. obj: 154106.141885, obj: 144403.129485, impr. rate [%]: 6.296318
input: ../data/euclid/euclid100_20.phylip, k: 5, totaltime [s]: 0.028261, #improving moves: 67, #neighborhood scans: 68, time/iter [ms]: 0.402515, ave size neighbor: 2440.941176, init. obj: 174917.391815, obj: 130945.505615, impr. rate [%]: 25.138659
input: ../data/euclid/euclid100_1.phylip, k: 8, totaltime [s]: 0.076506, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 1.350446, ave size neighbor: 6126.464286, init. obj: 168282.257814, obj: 136588.687489, impr. rate [%]: 18.833578
input: ../data/euclid/euclid100_2.phylip, k: 8, totaltime [s]: 0.089980, #improving moves: 67, #neighborhood scans: 68, time/iter [ms]: 1.310441, ave size neighbor: 5900.764706, init. obj: 158763.419155, obj: 126922.825616, impr. rate [%]: 20.055372
input: ../data/euclid/euclid100_3.phylip, k: 8, totaltime [s]: 0.094470, #improving moves: 62, #neighborhood scans: 63, time/iter [ms]: 1.485635, ave size neighbor: 6742.857143, init. obj: 167657.409657, obj: 126655.360113, impr. rate [%]: 24.455853
input: ../data/euclid/euclid100_4.phylip, k: 8, totaltime [s]: 0.087198, #improving moves: 72, #neighborhood scans: 73, time/iter [ms]: 1.182493, ave size neighbor: 5429.917808, init. obj: 182981.006286, obj: 120585.214722, impr. rate [%]: 34.099600
input: ../data/euclid/euclid100_5.phylip, k: 8, totaltime [s]: 0.075333, #improving moves: 59, #neighborhood scans: 60, time/iter [ms]: 1.240083, ave size neighbor: 5757.733333, init. obj: 167899.854843, obj: 125649.030643, impr. rate [%]: 25.164301
input: ../data/euclid/euclid100_6.phylip, k: 8, totaltime [s]: 0.078330, #improving moves: 69, #neighborhood scans: 70, time/iter [ms]: 1.106671, ave size neighbor: 5066.857143, init. obj: 153540.871522, obj: 115647.959827, impr. rate [%]: 24.679365
input: ../data/euclid/euclid100_7.phylip, k: 8, totaltime [s]: 0.083964, #improving moves: 68, #neighborhood scans: 69, time/iter [ms]: 1.204072, ave size neighbor: 5489.304348, init. obj: 164251.023861, obj: 122653.298603, impr. rate [%]: 25.325702
input: ../data/euclid/euclid100_8.phylip, k: 8, totaltime [s]: 0.057952, #improving moves: 52, #neighborhood scans: 53, time/iter [ms]: 1.076717, ave size neighbor: 5008.490566, init. obj: 163437.569510, obj: 123570.965900, impr. rate [%]: 24.392558
input: ../data/euclid/euclid100_9.phylip, k: 8, totaltime [s]: 0.070920, #improving moves: 53, #neighborhood scans: 54, time/iter [ms]: 1.297370, ave size neighbor: 5893.037037, init. obj: 157126.232238, obj: 145057.806594, impr. rate [%]: 7.680720
